,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
ALLE,S&P; 500,20.92,3.80,0.30%,99.00M,0.25%,7.87B,16.03,4.96,-1.08%,94.77M,-14.61%,364.00M,1.85,1.22,-,5.98%,-12.85%,2.65B,2.97,43.50%,-0.73%,7.86,2.08%,6.28,12.66,10.37%,11.80%,95.56,-0.93%,1.92,41.49,11.28%,63.60%,73.85 - 94.30,-0.26%,0.84,24.96,7.70%,22.40%,-15.69%,1.10,1.06%,1.20,3.50%,43.50%,7.65%,2.46,10000,1.80,16.80%,19.40%,38.50,2.64% 3.10%,Yes,2.43,29.20%,11.80%,1.43,79.68,Yes,2.38,Jan 24 BMO,24.10%,721.21K,79.50,2.20,-4.57%,-7.53%,-4.86%,"1,034,489",-0.23%
ALXN,S&P; 500,95.58,1.11,0.10%,224.73M,8.05%,23.82B,12.18,8.70,-4.70%,222.67M,-15.52%,251.80M,5.33,1.81,97.40%,1.99%,-22.46%,3.91B,6.09,23.50%,1.00%,2.61,-17.24%,41.14,2.58,14.32%,1.10%,164.35,-15.17%,6.83,15.52,17.95%,1.70%,92.56 - 140.77,8.87%,-,69.80,11.10%,4.70%,-24.70%,1.22,-,2.70,25.60%,89.20%,14.52%,4.83,2525,3.20,19.50%,8.60%,47.67,4.13% 4.72%,Yes,0.35,343.90%,3.90%,1.36,100.21,Yes,0.32,Jan 23 BMO,0.00%,1.70M,106.00,1.80,-0.20%,-7.26%,-11.42%,"2,320,510",5.78%
AMAT,S&P; 500,7.82,4.31,0.60%,1.00B,6.81%,33.78B,7.62,4.42,0.00%,954.37M,-12.10%,4.43B,0.46,0.79,82.20%,2.01%,-13.41%,17.25B,1.96,36.10%,-1.22%,1.39,-25.84%,7.02,4.80,29.94%,18.00%,48.09,-37.57%,4.02,8.38,16.98%,45.40%,28.79 - 62.40,2.93%,0.80,13.19,83.00%,37.30%,-45.99%,1.62,2.37%,1.70,18.10%,45.30%,17.05%,1.52,21000,2.60,1.10%,27.80%,52.25,4.64% 4.53%,Yes,0.00,-0.30%,19.20%,1.12,31.54,Yes,0.78,Nov 15 AMC,18.20%,13.74M,33.70,2.10,3.29%,-0.23%,-23.13%,"15,401,988",6.85%
AMD,S&P; 500,-,-0.54,0.70%,1.02B,8.63%,19.31B,30.45,0.62,-78.68%,992.79M,-19.87%,-770.00M,-,0.09,64.00%,11.90%,-33.17%,6.54B,2.95,-75.80%,-11.37%,1.12,22.58%,1.14,16.67,35.65%,9.10%,23.95,64.50%,1.04,18.28,0.56%,43.40%,9.04 - 34.14,2.93%,-,108.47,8.10%,-48.10%,-44.35%,3.22,-,1.40,-0.30%,37.10%,110.18%,1.44,8900,1.80,4.40%,7.70%,50.16,7.18% 7.65%,Yes,1.16,61.90%,5.50%,1.05,17.05,Yes,1.04,Jan 23 AMC,0.00%,105.67M,19.00,2.50,0.62%,-4.21%,2.22%,"111,405,813",11.44%
AME,S&P; 500,22.23,3.06,0.10%,238.93M,1.10%,16.26B,18.88,3.61,-23.86%,228.30M,-10.57%,713.30M,1.49,0.84,87.40%,2.12%,-14.75%,4.72B,3.45,16.10%,-0.48%,2.89,-5.46%,19.49,3.49,10.28%,10.00%,86.47,-7.28%,2.17,31.35,14.90%,18.80%,63.14 - 81.92,0.52%,0.56,23.65,6.20%,11.40%,-16.93%,1.20,0.82%,1.40,5.20%,33.90%,7.78%,2.11,16900,2.10,10.00%,21.70%,47.41,2.16% 3.19%,Yes,0.42,24.00%,17.10%,0.83,65.57,Yes,0.41,Jan 31 BMO,14.60%,1.67M,68.05,1.60,-0.82%,-3.36%,-8.21%,"1,381,311",3.78%
AMG,S&P; 500,10.95,9.19,0.50%,53.95M,3.60%,5.43B,6.46,15.59,-1.49%,46.44M,-9.58%,511.40M,1.79,3.79,94.60%,2.63%,-27.07%,2.42B,2.25,-2.80%,-2.95%,1.83,-32.00%,68.14,1.48,5.62%,8.50%,144.75,-50.20%,8.31,12.12,6.11%,19.70%,88.46 - 216.99,3.29%,1.20,4.65,20.50%,9.30%,-53.62%,1.44,1.19%,-,5.00%,-,13.77%,3.87,4400,-,2.70%,34.00%,49.89,3.23% 4.28%,Yes,0.51,5.50%,30.10%,0.84,96.43,Yes,0.51,Jan 28 BMO,8.20%,668.65K,100.65,1.70,3.22%,-6.13%,-29.76%,"562,854",4.38%
AMGN,S&P; 500,16.12,12.13,0.10%,643.68M,2.68%,125.80B,13.44,14.54,-3.49%,635.90M,-3.69%,8.30B,3.47,3.28,79.90%,1.58%,-5.54%,23.32B,5.39,7.30%,-1.53%,3.25,4.31%,22.25,8.78,2.08%,3.10%,205.25,8.37%,46.48,4.20,4.65%,12.60%,163.31 - 210.19,0.40%,5.80,18.11,14.40%,14.00%,-7.02%,1.34,2.97%,2.80,5.80%,82.60%,19.67%,6.07,20800,3.10,2.30%,43.40%,55.58,2.54% 3.10%,Yes,2.40,3.90%,9.40%,1.32,188.98,Yes,2.05,Jan 29 AMC,135.60%,3.10M,195.44,2.30,2.45%,1.44%,3.39%,"4,083,604",3.42%
AMP,S&P; 500,8.22,13.47,0.10%,143.25M,6.39%,15.86B,6.86,16.15,0.00%,138.92M,-15.45%,2.03B,0.55,3.82,86.40%,1.39%,-26.42%,12.89B,1.23,44.30%,-2.11%,1.70,-21.45%,38.91,2.85,8.68%,1.20%,153.00,-34.51%,17.30,6.40,15.00%,30.10%,95.69 - 183.90,6.09%,3.60,16.29,19.50%,9.10%,-39.79%,1.74,3.25%,-,3.30%,47.40%,15.72%,4.54,13000,-,9.60%,20.70%,49.22,3.25% 4.18%,Yes,2.71,5.20%,13.50%,0.90,105.10,Yes,0.75,Jan 30 AMC,29.30%,1.14M,110.73,2.30,2.15%,-7.39%,-19.21%,"1,030,104",5.36%
AMT,S&P; 500,60.61,2.61,0.10%,453.17M,-0.18%,71.74B,44.43,3.56,-52.20%,439.49M,-2.92%,1.15B,8.50,0.77,95.60%,1.20%,10.01%,7.01B,10.23,32.70%,-0.13%,2.26,8.68%,12.14,13.04,22.36%,3.50%,169.00,11.74%,2.42,65.54,7.13%,19.90%,130.37 - 168.58,0.08%,3.36,62.03,10.50%,7.10%,-6.09%,0.58,2.12%,0.50,18.30%,69.10%,21.43%,3.81,4752,0.50,6.20%,26.30%,47.52,2.13% 2.48%,Yes,3.97,19.80%,16.70%,1.09,157.68,Yes,3.44,Jan 29 BMO,107.80%,2.33M,158.31,2.30,-2.12%,-0.91%,7.52%,"2,529,958",0.40%
AMZN,S&P; 500,96.96,16.25,16.20%,501.15M,7.78%,789.51B,58.97,26.71,-0.08%,409.64M,-11.11%,8.11B,2.19,5.56,57.50%,1.37%,-19.32%,220.96B,3.57,-7.10%,-1.60%,0.73,-7.32%,80.17,19.65,34.91%,6.70%,2136.26,30.82%,59.39,26.52,44.33%,26.70%,1204.66 - 2050.50,4.89%,-,65.99,122.80%,3.50%,-23.17%,1.70,-,0.80,23.80%,39.90%,30.77%,75.47,566000,1.10,29.30%,4.90%,52.08,4.15% 4.99%,Yes,1.21,1026.20%,4.00%,1.19,1500.28,Yes,1.02,Jan 24 AMC,0.00%,7.71M,1575.39,1.70,1.98%,-1.68%,-7.33%,"9,142,664",5.01%
ANET,S&P; 500,52.29,3.87,0.10%,77.13M,-1.15%,15.62B,22.77,8.89,-75.60%,53.34M,-16.98%,313.30M,2.17,2.07,60.80%,3.10%,-22.55%,2.02B,7.72,140.20%,8.37%,1.74,-21.50%,25.94,7.81,14.56%,11.30%,292.61,-14.06%,21.55,9.40,24.09%,16.90%,187.08 - 313.37,-3.91%,-,41.22,73.00%,27.70%,-35.39%,1.58,-,4.10,53.50%,64.50%,8.23%,9.23,1800,4.50,28.70%,10.80%,39.97,3.53% 4.57%,Yes,0.02,23.50%,14.90%,1.25,199.60,Yes,0.02,Jan 31 AMC,0.00%,951.52K,202.47,2.30,-5.14%,-10.41%,-20.44%,"1,184,920",1.44%
ANSS,S&P; 500,36.88,3.90,0.70%,85.62M,-0.35%,12.30B,25.50,5.63,-8.10%,82.65M,-12.09%,335.70M,2.36,1.49,99.60%,1.83%,-21.16%,1.18B,10.42,6.10%,-0.99%,2.03,-18.09%,30.28,4.74,5.53%,10.60%,186.33,-5.12%,8.52,16.86,15.60%,13.10%,136.80 - 190.45,0.50%,-,27.98,8.10%,12.00%,-24.57%,1.28,-,2.70,6.50%,86.70%,5.01%,5.57,2900,2.70,5.00%,33.70%,45.33,3.62% 3.85%,Yes,0.00,21.40%,27.00%,0.85,137.64,Yes,0.00,Feb 06 AMC,0.00%,744.75K,143.66,2.50,-2.73%,-5.32%,-13.66%,"632,407",4.37%
ANTM,S&P; 500,19.14,13.06,0.10%,261.72M,-4.21%,65.41B,14.19,17.61,-16.26%,258.23M,-15.64%,3.45B,1.06,2.20,90.60%,1.47%,-9.53%,91.44B,0.72,10.80%,-0.40%,2.43,4.11%,112.12,2.23,12.46%,6.20%,322.89,9.06%,16.28,15.35,18.13%,16.40%,215.52 - 300.57,-4.84%,3.00,507.03,4.60%,7.50%,-16.85%,0.94,1.20%,-,7.90%,-,15.96%,8.24,56000,-,3.70%,5.90%,36.50,2.46% 3.20%,Yes,0.67,29.30%,5.00%,1.15,248.42,Yes,0.59,Jan 30 BMO,16.70%,1.56M,249.91,2.00,-6.23%,-8.74%,-1.56%,"1,784,155",0.60%
AON,S&P; 500,31.57,4.58,0.10%,247.52M,0.99%,35.78B,15.73,9.19,-2.83%,238.10M,-12.38%,1.14B,2.06,2.13,91.60%,0.91%,-7.87%,10.91B,3.28,-36.40%,1.71%,2.07,4.58%,17.47,8.27,13.01%,2.90%,166.00,8.20%,20.41,7.08,15.34%,16.50%,133.41 - 166.55,-0.56%,1.60,48.09,-0.80%,9.90%,-13.21%,0.94,1.11%,1.10,-2.80%,-,8.35%,3.50,50000,1.10,0.40%,13.90%,40.42,1.67% 2.53%,Yes,1.54,-17.50%,7.10%,1.79,141.88,Yes,1.37,Jan 25 BMO,48.80%,1.05M,144.55,2.50,-3.40%,-7.11%,-1.75%,"1,882,846",1.88%
AOS,S&P; 500,18.07,2.44,0.10%,169.87M,2.84%,7.49B,15.71,2.81,-7.41%,142.65M,-8.16%,422.40M,1.84,0.71,99.60%,4.21%,-16.86%,3.14B,2.38,17.30%,1.89%,2.64,-26.41%,10.30,4.28,9.17%,11.00%,57.44,-28.72%,3.64,12.13,9.80%,19.90%,40.34 - 68.39,3.33%,0.88,28.55,19.90%,18.40%,-35.49%,1.32,1.99%,1.70,9.10%,41.10%,9.37%,1.48,16100,2.20,0.60%,17.30%,51.30,3.04% 3.46%,Yes,0.11,13.10%,10.80%,1.26,42.42,Yes,0.11,Jan 29 BMO,34.20%,2.28M,44.12,2.20,2.86%,-1.51%,-21.41%,"2,861,525",4.01%
APA,S&P; 500,10.98,2.58,0.10%,396.73M,5.91%,11.24B,20.87,1.36,-2.93%,378.68M,-22.39%,990.00M,0.14,0.49,99.50%,7.13%,-42.06%,7.22B,1.56,202.20%,-1.28%,5.63,-38.87%,19.87,1.43,-31.98%,4.00%,42.69,-37.52%,1.49,18.95,76.10%,11.60%,24.56 - 50.03,7.89%,1.00,4.56,-5.40%,10.20%,-43.40%,1.48,3.53%,1.10,-18.90%,80.30%,15.31%,1.47,3356,1.30,55.00%,21.90%,42.48,4.60% 5.29%,Yes,1.08,27.90%,12.10%,0.88,27.18,Yes,1.06,Jan 30 AMC,43.50%,4.79M,28.32,2.90,-3.08%,-15.98%,-30.65%,"4,215,658",4.19%
APC,S&P; 500,72.85,0.64,0.20%,533.86M,5.21%,24.70B,16.38,2.82,0.00%,502.77M,-16.60%,309.00M,6.07,0.76,87.80%,2.18%,-33.08%,12.84B,1.92,49.50%,-2.60%,2.04,-36.26%,17.44,2.65,4.63%,3.60%,78.02,-15.54%,3.53,13.12,12.00%,16.00%,40.40 - 76.70,5.52%,1.05,-,-21.30%,-1.40%,-39.69%,1.52,2.27%,0.80,-3.80%,84.80%,14.50%,2.07,4400,0.90,38.20%,20.90%,45.74,3.88% 4.38%,Yes,1.92,156.60%,11.50%,1.07,44.46,Yes,1.81,Jan 29 AMC,28.40%,5.38M,46.26,1.90,-2.66%,-11.75%,-27.25%,"5,748,805",4.05%
APD,S&P; 500,21.09,7.66,0.20%,227.33M,1.16%,36.74B,17.46,9.25,4.65%,218.40M,-3.01%,1.69B,1.93,1.87,87.90%,1.08%,-4.78%,8.93B,4.11,48.50%,0.26%,1.86,3.74%,49.51,3.26,13.27%,8.00%,188.45,-2.88%,13.09,12.35,10.95%,14.20%,148.44 - 175.17,0.97%,4.40,485.32,10.10%,11.40%,-7.74%,0.91,2.72%,2.00,-2.60%,30.70%,8.87%,4.65,16000,2.20,4.30%,22.00%,56.67,2.54% 3.00%,Yes,0.35,1.30%,16.80%,0.86,155.31,Yes,0.31,Feb 05 BMO,60.00%,1.26M,161.61,1.90,2.92%,2.87%,0.03%,"1,082,153",4.06%
APH,S&P; 500,19.75,3.93,0.10%,307.78M,-3.58%,23.87B,19.35,4.01,-69.27%,300.07M,-13.63%,1.22B,1.99,0.98,98.00%,1.54%,-17.08%,7.92B,3.01,27.00%,-0.08%,2.50,-11.70%,13.34,5.81,8.32%,7.90%,100.73,-12.82%,3.31,23.40,9.90%,19.50%,74.95 - 97.56,-4.30%,0.92,37.23,14.40%,15.10%,-20.52%,0.90,1.19%,1.20,10.30%,32.50%,3.46%,2.42,70000,1.70,15.70%,20.60%,39.26,2.32% 2.94%,Yes,0.81,17.80%,9.60%,1.81,75.07,Yes,0.62,Jan 23 BMO,33.10%,1.85M,77.54,1.90,-4.57%,-8.66%,-12.36%,"3,347,683",3.29%
ATVI,S&P; 500,29.91,1.58,0.70%,795.31M,0.28%,37.51B,17.04,2.77,-0.35%,754.66M,1.22%,1.21B,2.50,1.30,93.00%,2.88%,-43.18%,7.16B,5.24,-7.00%,3.37%,2.00,-38.09%,13.97,3.38,6.05%,3.20%,70.81,-27.78%,-,-,11.97%,5.70%,43.71 - 84.68,1.29%,0.34,21.04,3.40%,7.60%,-44.30%,0.98,0.72%,2.00,7.60%,65.30%,7.92%,2.03,9800,2.10,-6.60%,20.40%,40.95,4.07% 4.18%,Yes,0.25,37.40%,8.10%,0.84,45.36,Yes,0.25,Feb 07 AMC,39.70%,10.84M,47.17,2.00,0.41%,-12.64%,-31.26%,"9,059,539",3.99%
AVB,S&P; 500,28.72,5.96,0.20%,144.94M,-1.27%,24.81B,35.45,4.83,-13.84%,137.86M,-10.23%,824.00M,11.31,1.14,95.60%,1.72%,-4.15%,2.26B,10.97,-15.60%,-0.81%,3.77,-0.69%,75.43,2.27,-8.94%,4.40%,196.33,-3.71%,0.39,443.89,2.54%,7.90%,152.65 - 191.91,-1.64%,5.88,49.62,20.00%,3.20%,-10.79%,0.49,3.43%,-,16.60%,66.40%,12.15%,4.36,3112,-,4.60%,26.50%,39.66,2.22% 2.72%,Yes,0.72,-19.20%,36.40%,0.91,170.00,Yes,0.72,Jan 28 AMC,96.70%,629.21K,171.20,2.30,-4.94%,-5.57%,-1.74%,"574,932",0.71%
AVGO,S&P; 500,20.56,11.34,0.20%,433.09M,-7.02%,101.01B,8.86,26.31,0.00%,410.12M,-3.65%,4.97B,1.35,5.28,87.50%,1.88%,-6.49%,20.85B,4.85,187.60%,-3.42%,2.00,-4.96%,64.70,3.60,14.40%,23.40%,291.67,-13.60%,-,-,15.28%,43.80%,197.46 - 274.26,-8.28%,10.60,19.25,39.60%,13.20%,-14.96%,0.71,4.54%,3.40,52.60%,51.60%,18.12%,10.02,15000,3.90,12.40%,24.10%,44.50,3.64% 4.04%,Yes,0.66,109.40%,58.80%,1.40,230.96,Yes,0.66,Dec 06 AMC,23.70%,3.86M,233.23,2.00,-4.84%,-0.91%,-0.98%,"5,409,466",0.98%
AVY,S&P; 500,16.54,5.47,0.10%,88.94M,1.27%,8.04B,13.68,6.61,-15.47%,86.26M,-5.97%,485.40M,1.23,1.50,89.20%,1.67%,-15.91%,7.13B,1.13,42.40%,-1.51%,1.65,-10.00%,11.99,7.54,9.49%,6.00%,117.50,-22.03%,2.45,36.97,13.41%,29.60%,82.89 - 123.67,0.69%,2.08,33.34,27.00%,17.30%,-26.86%,1.27,2.30%,0.70,2.40%,26.80%,9.12%,2.52,30000,1.00,4.80%,9.00%,51.30,2.52% 2.81%,Yes,1.78,46.40%,4.40%,0.95,87.07,Yes,1.24,Jan 22 BMO,54.70%,871.65K,90.45,1.90,1.01%,-0.96%,-11.76%,"824,069",3.88%
AWK,S&P; 500,27.92,3.22,0.10%,190.81M,0.43%,17.13B,25.11,3.58,-11.80%,179.66M,-6.18%,577.00M,3.40,0.69,87.20%,2.62%,2.43%,3.41B,5.02,17.70%,-0.23%,4.68,2.54%,32.38,2.77,8.20%,2.20%,99.00,1.51%,0.45,199.22,8.20%,8.10%,76.04 - 98.18,-1.08%,1.82,-,7.90%,6.70%,-8.55%,0.21,2.03%,0.40,3.30%,57.40%,18.08%,2.18,6900,0.50,4.30%,33.10%,44.99,2.06% 2.50%,Yes,1.43,-9.90%,13.30%,0.95,89.12,Yes,1.29,Jan 30 AMC,69.10%,1.00M,89.79,2.10,-3.59%,-2.24%,3.16%,"952,311",0.75%
AXP,DJIA S&P500;,13.56,7.20,0.28%,871.73M,3.13%,85.12B,12.01,8.13,-2.78%,851.89M,-13.10%,6.21B,1.08,1.79,84.80%,0.80%,-9.97%,39.85B,2.14,4.50%,-0.82%,1.64,-0.90%,25.01,3.90,10.11%,2.00%,115.52,-1.92%,4.96,19.69,12.50%,18.00%,87.54 - 114.55,2.43%,1.56,6.69,8.70%,3.70%,-14.76%,1.16,1.60%,-,1.30%,69.90%,11.54%,3.09,55000,-,10.30%,20.40%,45.88,2.32% 3.18%,Yes,5.91,25.10%,9.00%,1.11,93.43,Yes,2.58,Jan 17 AMC,33.30%,4.16M,97.64,2.50,-2.29%,-6.09%,-4.10%,"4,631,033",4.51%
AZO,S&P; 500,18.35,45.55,0.20%,25.30M,-0.88%,21.14B,13.28,62.90,-70.29%,25.02M,1.35%,1.22B,1.67,9.99,97.20%,2.68%,9.42%,11.27B,1.88,-5.10%,-2.48%,1.83,23.62%,-64.72,-,5.97%,15.00%,919.18,11.50%,9.96,83.86,10.97%,-95.90%,590.76 - 896.03,-0.32%,-,10.70,8.50%,37.30%,-6.74%,0.64,-,0.10,4.20%,53.40%,41.45%,22.48,54900,0.90,2.00%,16.20%,50.58,2.36% 2.73%,Yes,-,34.60%,12.50%,1.05,845.58,Yes,-,Dec 04 BMO,0.00%,366.13K,835.63,2.30,-2.23%,2.59%,15.27%,"383,844",-1.18%
BA,DJIA S&P500;,21.25,15.39,0.10%,587.94M,3.13%,192.30B,17.96,18.21,-1.12%,567.30M,-9.13%,9.11B,0.93,4.59,70.30%,0.87%,-16.63%,98.15B,1.96,53.80%,-1.16%,1.13,-1.83%,-2.24,-,20.45%,9.00%,417.60,9.83%,16.99,19.25,22.84%,-,292.47 - 394.28,1.42%,8.22,19.63,18.00%,52.30%,-17.04%,1.24,2.51%,0.30,2.70%,18.70%,11.83%,13.00,140800,1.10,3.80%,11.00%,51.06,2.82% 3.80%,Yes,-,36.30%,10.40%,1.01,310.90,Yes,-,Jan 30 BMO,37.90%,4.38M,327.08,1.90,2.26%,-2.64%,-5.41%,"4,436,368",5.20%
BAC,S&P; 500,11.13,2.30,0.08%,10.09B,4.97%,258.12B,8.93,2.86,-0.20%,9.81B,-10.37%,23.84B,0.54,0.65,69.50%,1.39%,-14.73%,64.00B,4.03,16.90%,-1.16%,1.78,-8.38%,23.91,1.07,11.92%,0.90%,33.87,-14.16%,69.94,0.37,20.69%,9.10%,22.66 - 33.05,3.81%,0.60,6.51,46.90%,4.80%,-22.60%,1.33,2.35%,-,0.10%,-,12.89%,0.88,205000,-,15.70%,67.50%,52.88,2.82% 3.61%,Yes,1.74,42.80%,34.20%,1.12,24.56,Yes,0.88,Jan 16 BMO,23.80%,76.31M,25.58,2.00,4.03%,-3.15%,-12.24%,"85,620,949",4.15%
BAX,S&P; 500,20.19,3.29,0.09%,544.70M,1.43%,36.22B,20.36,3.27,-94.31%,531.66M,-3.90%,1.80B,1.47,0.73,86.80%,1.31%,-12.40%,11.06B,3.28,-73.80%,-0.13%,1.62,-9.89%,17.10,3.89,8.94%,7.10%,74.18,-2.56%,5.25,12.67,13.70%,13.30%,61.05 - 78.38,1.03%,0.76,45.17,-10.50%,10.90%,-15.16%,0.97,1.14%,2.00,-5.40%,43.20%,8.93%,1.65,47000,2.60,2.20%,14.00%,56.12,2.07% 2.55%,Yes,0.38,123.80%,10.90%,1.10,64.48,Yes,0.38,Jan 31 BMO,31.10%,4.30M,66.50,2.30,2.21%,1.72%,-5.47%,"4,753,847",3.13%
BBT,S&P; 500,12.38,3.66,0.10%,791.35M,5.28%,35.81B,10.35,4.37,-0.28%,765.07M,-10.80%,2.88B,3.02,1.04,66.80%,1.25%,-7.58%,7.88B,4.54,-3.20%,-1.53%,1.83,-10.93%,34.86,1.30,9.90%,1.30%,55.17,-10.25%,3.80,11.91,4.10%,11.00%,40.68 - 56.31,4.46%,1.62,10.23,-0.10%,9.60%,-19.64%,1.02,3.58%,-,1.30%,-,11.23%,1.25,36484,-,10.20%,76.90%,48.76,2.27% 2.90%,Yes,0.77,36.30%,37.10%,0.62,44.09,Yes,0.77,Jan 17 BMO,38.30%,5.24M,45.25,2.40,0.98%,-5.25%,-10.97%,"3,229,580",2.63%
BBY,S&P; 500,11.09,4.76,0.10%,272.56M,1.52%,14.38B,9.60,5.50,-21.96%,229.54M,-21.26%,1.38B,0.68,2.57,88.40%,9.24%,-29.68%,43.44B,0.33,11.60%,-0.57%,4.86,-28.46%,10.98,4.80,6.08%,8.40%,72.74,-22.88%,4.78,11.03,16.27%,33.00%,47.72 - 84.37,-0.40%,1.80,19.12,49.50%,26.30%,-37.48%,1.27,3.41%,0.30,2.00%,23.20%,10.54%,2.37,125000,1.10,2.90%,4.10%,38.17,3.55% 4.68%,Yes,0.44,27.30%,2.50%,1.13,52.50,Yes,0.42,Nov 20 BMO,40.70%,4.36M,52.75,2.90,-3.10%,-15.60%,-26.63%,"4,910,657",0.48%
BDX,S&P; 500,72.38,3.00,0.20%,275.11M,-2.35%,59.70B,15.88,13.67,-12.48%,268.71M,-14.08%,800.00M,5.67,2.65,87.10%,1.44%,-16.12%,15.98B,3.74,-34.50%,-1.03%,3.08,-10.40%,78.15,2.78,12.70%,0.30%,268.89,-1.36%,4.21,51.60,12.77%,0.80%,208.62 - 265.87,-3.70%,3.08,57.24,-8.30%,3.00%,-18.38%,1.24,1.42%,0.70,14.70%,45.40%,4.01%,6.40,76032,1.00,39.00%,9.30%,41.02,2.28% 2.86%,Yes,1.02,-42.30%,1.00%,1.56,211.20,Yes,0.90,Feb 05 BMO,614.20%,1.26M,216.99,2.00,-4.18%,-7.23%,-8.92%,"1,958,387",2.74%
BEN,S&P; 500,9.40,3.22,39.80%,524.92M,3.52%,15.88B,10.58,2.86,-0.26%,283.15M,-11.70%,1.72B,-,0.72,49.80%,6.44%,-0.20%,6.32B,2.51,5.90%,-1.09%,4.36,-4.60%,19.00,1.59,1.82%,4.50%,29.46,-24.32%,13.17,2.30,-4.41%,7.20%,27.34 - 42.29,2.02%,1.04,140.82,-1.10%,15.20%,-28.45%,1.27,3.44%,-,-4.60%,-,10.68%,0.98,9700,-,-5.50%,33.50%,49.49,2.31% 3.51%,Yes,0.07,3.60%,11.80%,0.71,29.30,Yes,0.07,Jan 24 BMO,62.40%,4.19M,30.26,3.40,-0.35%,-2.28%,-6.14%,"2,964,833",3.28%
BF-B,S&P; 500,32.12,1.47,0.50%,477.36M,-0.42%,22.46B,25.65,1.84,-,322.01M,-3.96%,709.00M,3.54,0.45,44.10%,2.17%,-6.27%,3.29B,6.83,11.60%,-3.12%,5.17,-6.90%,3.12,15.08,8.32%,14.80%,51.05,-12.10%,0.40,116.40,9.07%,55.70%,44.57 - 59.58,-1.09%,0.66,-,6.80%,20.70%,-21.01%,0.73,1.40%,1.40,2.70%,67.30%,5.59%,1.30,4800,3.10,-0.40%,31.80%,52.02,2.86% 2.92%,Yes,1.70,-8.80%,22.80%,1.36,45.35,No,1.53,Dec 05 BMO,40.50%,1.35M,47.06,2.90,1.34%,-0.10%,-8.49%,"1,830,233",3.77%
BHF,S&P; 500,-,-5.30,0.20%,121.17M,3.86%,3.98B,3.66,8.96,0.00%,118.39M,-19.41%,-634.00M,-,1.97,94.20%,5.05%,-27.62%,6.82B,0.58,62.50%,2.79%,3.72,-20.81%,107.67,0.30,14.08%,0.00%,45.36,-43.92%,17.69,1.85,4.89%,0.70%,28.52 - 67.55,7.64%,-,1.39,-,-5.20%,-51.43%,-,-,-,-,-,15.04%,1.64,1260,-,-27.90%,-12.80%,46.26,4.84% 5.42%,Yes,0.31,71.20%,1.30%,0.62,31.30,Yes,0.31,Feb 04 AMC,0.00%,1.61M,32.81,3.00,1.49%,-11.64%,-24.31%,"990,206",4.82%
BHGE,S&P; 500,-,-0.09,0.10%,1.05B,2.23%,23.16B,16.45,1.34,-98.97%,345.87M,-5.55%,-37.00M,-,0.27,79.20%,5.24%,-31.44%,22.38B,1.04,92.40%,1.08%,2.51,-33.95%,88.49,0.25,103.82%,0.20%,33.80,-34.51%,4.52,4.86,-,0.30%,20.09 - 37.76,2.14%,0.72,-,-16.70%,-0.70%,-41.84%,0.78,3.28%,1.40,-4.20%,16.20%,9.31%,0.89,65000,1.90,5.40%,1.00%,49.06,3.81% 4.16%,Yes,0.20,112.90%,0.40%,0.70,20.91,Yes,0.17,Jan 29 BMO,319.90%,7.21M,21.96,2.00,2.90%,-6.84%,-28.50%,"5,040,387",5.02%
BIIB,S&P; 500,15.14,21.02,0.41%,203.00M,8.12%,64.62B,11.35,28.04,-0.12%,200.66M,-4.17%,4.36B,1.93,6.72,91.10%,1.71%,-9.76%,13.23B,4.88,3.00%,-0.69%,2.50,6.53%,68.35,4.66,8.48%,12.90%,385.37,-6.33%,21.81,14.59,7.85%,24.20%,249.17 - 388.67,5.79%,-,11.13,24.80%,21.90%,-18.10%,1.05,-,2.50,17.30%,86.10%,27.76%,11.16,7300,2.70,11.70%,44.70%,58.29,3.26% 3.73%,Yes,0.43,23.60%,24.10%,1.07,307.00,Yes,0.43,Jan 22 BMO,0.00%,1.38M,318.33,2.00,4.19%,1.75%,1.75%,"1,475,754",3.69%
